date,daily_kwh,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2025-01-01,789.2254,12.0,2.0,7.0,61.0,11.0,3.0,9.0,1024.0,108.0,10.0,3.0,7.0,5.0,13.0,5.0,1,1,2,1,0,1
2025-01-02,504.8255,14.0,5.0,9.0,65.0,11.0,2.0,8.0,1025.0,58.0,10.0,13.0,9.0,7.0,13.0,7.0,1,2,3,1,0,0
2025-01-03,630.4778,12.0,3.0,7.0,60.0,10.0,2.0,10.0,1028.0,75.0,10.0,14.0,7.0,5.0,15.0,5.0,1,3,4,1,0,0
2025-01-04,774.8255,12.0,3.0,7.0,56.0,11.0,3.0,11.0,1027.0,111.0,10.0,35.0,7.0,5.0,16.0,5.0,1,4,5,1,1,0
2025-01-05,654.1051,14.0,6.0,9.0,61.0,9.0,2.0,10.0,1023.0,269.0,10.0,40.0,9.0,8.0,15.0,8.0,1,5,6,1,1,0
2025-01-06,539.0258,12.0,4.0,8.0,45.0,11.0,3.0,13.0,1025.0,226.0,10.0,0.0,8.0,6.0,19.0,6.0,1,6,0,1,0,0
2025-01-07,525.8254,9.0,1.0,5.0,36.0,11.0,2.0,10.0,1028.0,277.0,10.0,19.0,5.0,3.0,14.0,3.0,1,7,1,1,0,0
2025-01-08,523.1976,10.0,2.0,6.0,25.0,11.0,2.0,9.0,1027.0,242.0,10.0,57.0,6.0,4.0,14.0,4.0,1,8,2,1,0,0
2025-01-09,550.4258,6.0,1.0,3.0,39.0,10.0,1.0,17.0,1033.0,273.0,10.0,29.0,3.0,-0.0,24.0,-0.0,1,9,3,1,0,0
2025-01-10,663.3455,6.0,-2.0,2.0,35.0,10.0,1.0,12.0,1037.0,255.0,10.0,23.0,2.0,-2.0,18.0,-2.0,1,10,4,1,0,0
2025-01-11,877.6657,7.0,-1.0,3.0,27.0,4.0,1.0,7.0,1034.0,296.0,10.0,44.0,3.0,1.0,12.0,1.0,1,11,5,1,1,0
2025-01-12,801.2256,11.0,1.0,5.0,34.0,11.0,1.0,11.0,1029.0,241.0,10.0,13.0,5.0,2.0,18.0,2.0,1,12,6,1,1,0
2025-01-13,623.9856,12.0,2.0,6.0,47.0,7.0,2.0,8.0,1028.0,149.0,10.0,42.0,6.0,5.0,14.0,5.0,1,13,0,1,0,0
2025-01-14,614.1576,15.0,6.0,10.0,55.0,8.0,2.0,9.0,1026.0,112.0,10.0,54.0,10.0,9.0,14.0,9.0,1,14,1,1,0,0
2025-01-15,559.9056,7.0,0.0,4.0,36.0,11.0,2.0,16.0,1035.0,259.0,10.0,17.0,4.0,0.0,25.0,0.0,1,15,2,1,0,0
2025-01-16,597.1057,8.0,-2.0,3.0,28.0,9.0,1.0,6.0,1031.0,270.0,10.0,16.0,3.0,1.0,11.0,1.0,1,16,3,1,0,0
